caminho,temp_execucao,qtde 
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Crescente/dtcresc50dup7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Convexo-CresceDescresce/dtconvx50dup4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Aleatorio/dtaleat50dup3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Concavo-DecresceCresce/dtconcv50dup4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Concavo-DecresceCresce/dtconcv50dup8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Concavo-DecresceCresce/dtconcv50dup0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Concavo-DecresceCresce/dtconcv50dup5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Concavo-DecresceCresce/dtconcv50dup1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Concavo-DecresceCresce/dtconcv50dup9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Concavo-DecresceCresce/dtconcv50dup6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Concavo-DecresceCresce/dtconcv50dup2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup2.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup9.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup4.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup5.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup6.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Com Duplicidade/Descrescente/dtdecre50dup0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Crescente/dtcresc50uni0.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Crescente/dtcresc50uni3.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Crescente/dtcresc50uni8.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Crescente/dtcresc50uni1.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Crescente/dtcresc50uni7.txt,0ms,50
../dadosExternos/colecaoDados/dados/50/Sem Duplicidade/Crescente/dtcresc50uni6.txt,0ms,50
